Region,RegionNo,IUU,f,Production
Northwest Atlantic,21,9,0.84,1842254
Northeast Atlantic,27,9,1.160345742,8654722
Western Central Atlantic,31,10,1.927771152,1186897
Eastern Central Atlantic,34,37,1.755079754,4415695
Southwest Atlantic,41,32,1.714266251,2419984
Southeast Atlantic,47,7,1.602067808,1574838
Western Indian,51,18,2.434318027,4699560
Eastern Indian,57,32,1.470138484,8052256
Northwest Pacific,61,33,1.173158187,21967669
Northeast Pacific,67,3,0.501625017,3148703
Western Central Pacific,71,34,1.743381171,12822230
Eastern Central Pacific,77,15,1.827956309,1907785
Southwest Pacific,81,4,1.026800705,543030
Southeast Pacific,87,19,1.343194419,6890058
