Region,RegionNo,IUU,f,Production
Northwest Atlantic,21,9,1.435042365,1842254
Northeast Atlantic,27,9,1.146625208,8654722
Western Central Atlantic,31,10,1.258844336,1186897
Eastern Central Atlantic,34,37,2.247313153,4415695
Southwest Atlantic,41,32,1.693163577,2419984
Southeast Atlantic,47,7,2.096603992,1574838
Western Indian,51,18,1.706850381,4699560
Eastern Indian,57,32,1.597286877,8052256
Northwest Pacific,61,33,1.647921509,21967669
Northeast Pacific,67,3,0.78261354,3148703
Western Central Pacific,71,34,1.37910036,12822230
Eastern Central Pacific,77,15,1.262892073,1907785
Southwest Pacific,81,4,1.143737208,543030
Southeast Pacific,87,19,1.284382935,6890058
