Year,Catch
1971,14753
1972,23372
1973,26405
1974,28060
1975,27241
1976,30851
1977,30410
1978,33315
1979,42834
1980,51818
1981,57430
1982,61577
1983,76790
1984,80658
1985,87448
1986,85188
1987,102559
1988,127543
1989,113844
1990,114168
1991,132695
1992,152038
1993,147291
1994,157663
1995,159667
1996,182147
1997,187206
1998,227068
1999,244847
2000,236275
2001,214077
2002,205802
2003,208626
2004,233319
2005,252232
2006,277388
2007,301531
2008,296769
2009,338034
2010,329949
2011,372211
2012,429024
2013,481014
2014,496682
